GHG Emissions(tonne (Mt) of CO2e),"12,252.52","7,122.60","9,096.95","8,402.12"
Indirect GHG emissions (Scope 2)35,"104,470.04","78,620.01","73,723.21","58,079.17"
Other indirect GHG emissions from the value chain (Scope 3)36,To be disclosed in September 2024,"10,075,225.54","12,368,223.29",-
