,Unit,2023,2022,2021,2020
Employee Turnover85,%,11.98,13.96,12.82,12.36
By Gender,,,,,
Male,%,11.20,13.32,12.07,11.97
Female,%,13.71,15.27,14.30,13.11
By Age Group,,,,,
Under 30,%,16.10,17.09,15.11,13.33
30–50,%,9.57,12.05,11.06,11.21
Above 50,%,19.91,3.21,9.40,39.83
By Geographic Region,,,,,
Chinese mainland,%,10.44,12.98,12.81,12.27
Regions beyond the Chinese mainland,%,19.4286,25.80,12.92,13.51
