GRI Standards,No.,Disclosures,Status,Page,Notes
GRI 300: Environment,,,,,
Materials,,,,,We made the decision
,,,,,to keep this information
,301-1,Materials used by weight or volume,○,X,
,,,,,private based on the
,,,,,necessities of our company.
,,,,"24-26,",
,301-2,Recycled input materials used,●,108-,
,,,,109,
,,,,108-,
,301-3,Reclaimed products and their packaging materials,●,,
,,,,109,
Energy,302-1,Energy consumption within the organization,●,"22, 108",
,,,,,We made the decision
,,,,,to keep this information
,302-2,Energy consumption outside of the organization,○,X,
,,,,,private based on the
,,,,,necessities of our company.
,302-3,Energy intensity,●,108,
,302-4,Reduction of energy consumption,●,20-24,
,,,,"10-13,",
,,Reductions in energy requirements of products and,,,
,302-5,,●,"16, 21,",
,,servcies,,,
,,,,24,
Water and,,,,"35-37,",
,303-1,Interactions with water as a shared resource,●,,
Effluents,,,,110-111,
,303-2,Management of water discharge-related impacts,●,35-37,
,,,,"35-37,",
,303-3,Water withdrawal,●,,
,,,,110-111,
,,,,"35-37,",
,303-4,Water discharge,●,,
,,,,110-111,
,,,,"35-37,",
,303-5,Water consumption,●,,
,,,,110-111,
Biodiversity,,"Operational sites owned, leased, managed in, or adjacent",,,
,304-1,"to, protected areas and areas of high biodiversity value",●,37,
,,outside protected areas,,,
,,"Significant impacts of activities, products, and services",,,
,304-2,,●,37,
,,on biodiversity,,,
,304-3,Habitats protected or restored,●,37,
,,IUCN Red List species and national conservation list,,,
,304-4,,●,37,
,,species with habitats in areas affected by operations,,,
