Collection and recycling of e-waste,,2020,20212),2022
Cumulative amount of e-waste collected1),Tonnes,"4,540,155","5,099,436","5,699,938"
Amount of e-waste collected,,,,
Amount of e-waste collected,Tonnes,"506,627","559,281","600,502"
Europe,Tonnes,"279,902","311,687","332,373"
Americas,Tonnes,"41,426","46,584","50,955"
Asia and Oceania,Tonnes,"185,299","201,010","217,174"
