Sales by region (absolute value) \nAmericas,KRW 1 trillion,78.3,97.9,119.0
Europe,KRW 1 trillion,46.0,50.3,50.3
China,KRW 1 trillion,37.8,45.6,35.6
Korea,KRW 1 trillion,37.0,44.0,48.7
Asia and Africa,KRW 1 trillion,37.7,41.8,48.7
Sales by region (percentage),,,,
Americas,%,33,35,39
Europe,%,19,18,17
China,%,16,16,12
Korea,%,16,16,16
Asia and Africa,%,16,15,16
