Maximum number of children accommodated at in-house daycare centers \nMaximum number of children accommodated at,,,,
in-house daycare centers6),Persons,"3,020","3,050","3,078"
Number of in-house daycare centers,,,,
Number of in-house daycare centers7),Centers,13,13,13
Number of employees with disabilities,,,,
Number of employees with disabilities8),Persons,"1,465","1,574","1,664"
Percentage of employees with disabilities,,,,
Percentage of employees with disabilities9),%,1.5,1.6,1.6
