Tantalum,40,40,38,38,36,
Tin,73,76,53,55,59,stakeholders
Tungsten,41,41,42,40,39,building
Gold,104,104,107,107,99,smelter
Cobalt,-,30,27,35,42,
Mica,-,-,-,10,19,
Lithium,-,-,-,16,11,
Copper,-,-,-,-,33,(Responsible
Nickel,-,-,-,-,22,
