GRI Standards,No.,Disclosures,Status,Page,Notes
GRI 2 Universal,Standards,,,,
The organization,2-1,Organizational details,●,"5, 6",
and its reporting practices,2-2,Entities included in the organization’s sustainability reporting,●,,Refer to the Annual Business Report
,2-3,"Reporting period, frequency and contact point",●,128,
,2-4,Restatements of information,●,X,Disclose the changes to the report
,2-5,External assurance,●,118,
Activities and workers,2-6,"Activities, value chain and other business relationships",●,"4-5, 6, 74-86",Refer to the Annual Business Report
,2-7,Employees,●,103- 104,
,2-8,Workers who not,●,103,
Governance,2-9,are employees Governance structure and composition,●,94-96,
,2-10,Nomination and selection of the highest governance body,●,94-96,
,2-11,Chair of the highest governance body,●,94-96,
,2-12,Role of the highest governance body in overseeing the management of impacts,●,"7, 94- 96",
,2-13,Delegation of responsibility for managing impacts,●,96,
,2-14,Role of the highest governance body in sustainability reporting,●,96,
,2-15,Conflicts of interest,●,94-96,
,2-16,Communication of critical concerns,●,94-96,
,2-17,Collective knowledge of the highest governance body,●,96,
,2-18,Evaluation of the performance of the highest governance body,●,94-96,
,2-19,Remuneration policies,●,,Refer to the Annual Business Report
,2-20,Process to determine remuneration,●,,Refer to the Annual Business Report
,2-21,Annual total compensation ratio,○,X,We made the decision to keep this information private based on the necessities of our company.
"Strategy,",2-22,Statement on sustainable development strategy,●,4,
"Policies, and Practices",2-23,Policy commitments,●,97-99,Refer to the Website
