GRI Standards,No.,Disclosures,Status,Page,Notes
GRI 400: Society,,,,,
Employment,401-1,New employee hires and employee turnover,●,103-,
,401-2,Benefits provided to full-time employees that are not,●,104 57-58,
,,provided to temporary or part-term employees,,,
,401-3,Parental leave,●,104,
Occupational Health and,403-1,"Occupational health and safety management system Hazard identification, risk assessment, and incident",●,50-53,
Safety,403-2,investigation,,50-53,
,403-3,Occupational health services,●,50-53,
,403-4,"Worker participation, consultation, and communication on occupational health and safety",●,50-53,
,403-5,Worker training on occupational health and safety,●,50-53,
,403-6,Promotion of worker health,●,50-53,
,403-7,Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,●,50-53,
,403-8,Workers covered by an occupational health and safety management system,●,50-53,
,403-9,Work-related injuries,●,104,
,403-10,Work-related ill health,●,85,
Training and,404-1,Average hours of training per year per employee,●,105,
Education,404-2,Programs for upgrading employee skills and transition assistance programs,●,54-56,
,404-3,Percentage of employees receiving regular performance and career development reviews,●,55,
Diversity,405-1,Diversity of governance bodies and employees,●,59-60,
and Equal Opportunity,405-2,Ratio of basic salary and remuneration of women to men,●,60,
Non￾discrimination,406-1,Incidents of discrimination and corrective actions taken,●,48,
Freedom of Association and Collective Bargaining,407-1,Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,●,"43-44, 77",
Child Labor,408-1,Operations and suppliers at significant risk for incidents of child,●,"44, 80, 86",
