,Basic Training,"All company-wide employees, including permanent employees, consultants, interns, and contractors","• ""Personal Information Compliance Mandatory Training"" • ""New Hire Orientation Mandatory Training"" • ""General Staff Compliance Course"""
,Specific Training,Employees in relevant departments,"• ""Recruitment Legal Compliance Training Programme for IEG New Hires"" • ""Learn Chinese Data Privacy Compliance Risk Prevention and Control in 20 Minutes"" • ""Compliance Training Series for Social Platform Business Line: Personal Information Compliance Topics"" • ""PCG Product Compliance Guideline Training"""
