Description Community development,2021 2023 IBM (pages 35-38),2022,2023,"GRI 203-1, 203-2,",SASB,"SDGs 2, 6, 7, 11"
,Impact Report,,,413-1,,
Total contributions worldwide ($M)1 Contributions by type,$474.1,$447.9,$386.9,,,
Technology,$387.8,$338.4,$307.8,,,
Services,$42.1,$64.7,$52.4,,,
Cash,$44.2,$44.8,$26.7,,,
"Contributions by region Europe, Middle East, Africa",$167.9,$151.1,$144.7,,,
Asia Pacific,$150.4,$103.3,$105.2,,,
North America,$109.4,$171.6,$116.8,,,
Latin America,$46.4,$21.8,$20.1,,,
Worldwide retiree and employee volunteer hours,"440,000 IBM operates in more than 175 countries and in","431,000 many of them our workforce is represented by unions","543,000 and collective bargaining agreements",,,
Collective bargaining agreements,"(CBA) are in place. However, the level of the CBA ranging from a small percentage of our employees IBM Global Employment Standards; RBA Supplier","(enterprise, sector, cross-sector or a combination) being covered by a CBA in some locations, to 100% Code of Conduct","may differ from country to country, coverage in others.","2-30, 407-1",,
Human rights,"2023 IBM Impact Report (pages 10, 17, 29, 35-38); Conduct Guidelines; IBM Global Environmental",IBM Human Rights Principles; IBM Global Management System; IBM Corporate Environmental,Employment Standards; IBM Business Policy,"406-1, 410-1, 411-1, 413-1, 413-2, 408-1, 409-1",TC-SI-330a.2,"1, 2"
