Description Supplier RBA full audits - Top 10 nonconformances to RBA,Priority & major nonconformance,,2023 Minor nonconformance,Total,GRI,SASB,SDGs
code provisions Labor - Management systems,11.7%,,0.8%,12.5%,,,
Health & safety - Management systems,10.7%,,1.2%,11.9%,,,
Emergency preparedness Working hours,8.3% 5.7%,,2.1% 4.4%,10.4% 10.1%,,,
Ethics,7.1%,,0.0%,7.1%,,,
Occupational safety Environmental management systems,6.0% 5.7%,,0.2% 0.0%,6.2% 5.7%,,,
Freely chosen employment,3.0%,,1.7%,4.7%,,,
Wages and benefits Occupational injury and illness,3.5% 2.6%,,1.0% 0.4%,4.5% 3.0%,,,
Improved nonconformance rates from re-audits,Full audits,,Re-audits,—,,,
Working hours (Lab),15.3%,,7.4%,—,,,
Emergency preparedness (H&S) Occupational safety (H&S),10.9% 7.0%,,0.6% 0.6%,— —,,,
Freely chosen employment (Lab) Wages and benefits (Lab),6.2% 5.6%,,0.6% 2.1%,— —,,,
Occupational injury and illness (H&S),4.9%,,0.0%,—,,,
Non-discrimination (Mgt) Audits and assessments (Mgt),4.1% 3.3%,,0.2% 0.6%,— —,,,
Management accountability and responsibility (Mgt),2.9%,,0.0%,—,,,
