FY,2019/20,2020/21,2021/22,2022/23,2023/24
Total GHG emissions by scope,,,,,
Scope 1,"7,766","7,269","6,069","6,303","4,969"
Scope 2 (location-based),"162,597","177,678","191,778","202,440","196,859"
Scope 2 (market-based),"23,852","21,519","21,160","19,540","17,997"
Scope 1 and Scope 2 (location-based),"170,363","184,947","197,847","208,742","201,828"
Scope 3,"22,122,637","23,966,561","17,422,913","18,741,480","15,100,063"
Scope 3 upstream categories,"8,179,637","8,112,061","8,971,913","10,133,480","7,844,595"
Scope 3 downstream categories,"13,943,000","15,854,500","8,451,000","8,608,000","7,255,468"
Scope 3 emissions by category,,,,,
Business Travel,"46,900","11,900","20,255","38,846","41,630"
Product Transportation2,"616,416","815,262","737,979","538,156","360,152"
Emissions from Waste3,"2,110","1,770","1,810","1,808","2,135"
Employee Commuting,"24,900","39,800","41,043","45,568","56,585"
"Purchased Goods and Services4,5","7,032,426","6,495,779","7,798,826","8,662,378","6,507,693"
Fuel- and Energy-Related Activities (not included in Scope 1 or 2)6,"10,385","11,050","12,000","12,924","12,700"
Use of Sold Products7,"13,669,000","15,551,000","8,270,000","8,451,000","7,131,203"
End of Life Treatment of Sold Products7,"274,000","303,500","181,000","157,000","124,265"
Capital Goods8,"446,500","736,500","360,000","833,800","863,700"
