KPI type,Commitment,KPI,Progress through FY 2023/24,UNGC SDG
,Lenovo philanthropy,"By FY 2025/26, Lenovo philanthropy will impact 15 million lives and transform one million lives through philanthropic programs and partnerships.",Long term target: on track,
Philanthropy,provides smarter technology for all by empowering underrepresented communities with access to,"By FY 2025/26, Lenovo philanthropy will engage one in four employees in its",Long term,
,technology and STEM education.,charitable programs (volunteerism and matching gifts).,target: on track,
