FY,2019/20,2020/21,2021/22,2022/23,2023/24
Employee volunteering hours (through efforts,sponsored by Lenovo),,,,
North America,"9,838","4,161","5,873","13,093","18,537"
Rest of world,"17,046","15,335","77,564","34,961","68,342"
Estimated value1 of employee volunteer hours,"$1,156,022","$838,307","$3,587,791","$2,066,322","$3,735,797"
Employee giving2,,,,,
Lenovo match of global employee donations,"$1,344,085","$1,541,679","$2,239,305","$1,813,404","$1,951,105"
