,,,,,,,,,,,,,,
Industry associations,,Regulators and legislators,Board of Directors,,Advocacy groups,Communities,,,Supply chain,Customers,Employees,,Investors,
National or local industry associations; certification or conformance groups; industry councils; standards development working groups,patent board; Government Aairs; Legal,Government agencies;,Company Secretary; Directors; Lenovo Executive Committee; ESG Executive Oversight Committee,"Global, national, and local alliances; NGOs",regulators and legislators,NGOs; philanthropic organizations; civic and community partnerships;,,,Suppliers; Global Supply Chain,Sales; Customer Support,Human Resources; Talent Acquisition; Philanthropy; Social Impact subject matter experts,Clearing Limited,Relations; Analysts; shareholders; financial institutions; Hong Kong Exchanges and,Stakeholder representatives Investor
Newsletters; meetings; webinars; emails,services; external legal resources; newsletters; webinars,Compliance assessment tools; regulatory tracking,Board meetings and newsletters; emails; AGM,Technical working groups; webinars; newsletters,,Community service events; surveys; emails; service campaigns; website; social media,,newsletters,Surveys and audits; Responsible Business Alliance (RBA); Global Supply Chain; website;,Direct interactions with customers via meetings or written responses; customer focus groups; responses to customer-requested surveys; website; social media,Internal emails; surveys; intranet; Employee Resource Groups; social media,,Interim and Annual Reports; Annual General Meeting (AGM) and other General Meetings; website; webcasts,Communication methods and channels
Policy recommendations; regulatory updates and standards development activities for energy eciency; chemicals restrictions; ecolabels,requirements; data security and privacy requirements; labor practice requirements,Regulatory requirements trends; compliance,Corporate governance; ESG oversight; climate change topics; ESG risks and opportunities; ethics and compliance,climate change; water management; product end-of-life management; circular economy; D&I; philanthropy,Supply chain due diligence;,Access to STEM education; engagement; natural,technology; employee disasters,change; supplier,Environmental performance; human rights; labor practices; distribution; health and safety; D&I; climate training,Product energy and carbon data; corporate climate change metrics; product recycled content information; supplier due diligence information,Training and development; D&I; corporate governance; climate change; health and safety; community engagement,"goals, and targets","Quarterly, interim, and annual financial results; climate change; Diversity Inclusion (D&I); corporate governance; ESG initiatives,",Communication topics
