GRI Standard,Disclosure,Page number(s),Other reference material(s)
Forced or Compulsory,Labor,,
GRI 3: Material Topics 2021,3-3 Management of material topic,"88-94, 96-97",Supplier Code of Conduct RBA Code of Conduct Human Rights Policy
GRI 409: Forced or Compulsory Labor 2016,409-1 Operations and suppliers at significant risk for incidents of forced or compulsory labor,"88-94, 96-97",Supplier Code of Conduct RBA Code of Conduct Human Rights Policy
Local Communities,,,
GRI 3: Material Topics 2021,3-3 Management of material topic,"64-67, 108",
GRI 413: Local Communities 2016,"413-1 Operations with local community engagement, impact assessments, and development programs","64-67, 108",
Supplier Social,Assessment,,
GRI 3: Material Topics 2021,3-3 Management of material topic,"88-94, 96-98, 100-101",
GRI 414: Supplier Social Assessment 2016,414-2 Negative social impacts in the supply chain and actions taken,"88-94, 96-98, 100-101",
Customer Privacy,,,
GRI 3: Material Topics 2021,3-3 Management of material topic,74-75,
GRI 418: Customer Privacy 2016,418-1 Substantiated complaints concerning breaches of customer privacy and losses of customer data,74-75,
