Objectives,Metric/KPI,Target(s),Status,Notes
Product aspects:,Product energy,consumption and emissions,,
,,New products must show improved energy efficiency relative to the previous generation of the product.,,
Drive reduction in product energy use.,Energy efficiency,"Notebooks: Improve energy efficiency on average for comparable notebooks by 30% by March 31, 2030, relative to FY 2018/19. Excludes gaming notebooks. Desktops: Improve energy efficiency on average for comparable desktops by 50% by March 31, 2030, relative to FY 2018/19. Servers: Improve energy efficiency on average for comparable servers by 50% by March 31, 2030, relative to FY 2018/19. Mobile Business Group (MBG) products: Improve energy efficiency on average for comparable MBG products by 30% by March 31, 2030, relative to FY 2020/21.",Long term target: on track,"Where new products do not belong in a sub-category a part of the Company’s sub-targets, they default to the general energy efficiency improvement relative to the previous generation of the product. Exemption from targets may be requested if it can be clearly demonstrated that achieving the target places the product at a large price disadvantage against its competition or is not technically feasible."
