“Comply,or explain” Provisions,Page number(s),Other reference material(s)
Aspect,A2: Use of Resources,,
General Policies and,"Disclosure on the efficient use of resources, including energy, water other raw materials.",18-41,
Note:,"Resources may be used in production, in storage, transportation, in buildings, electronic equipment, etc.",,
KPI A2.1,"Direct and/or indirect energy consumption by type (e.g. electricity, gas or oil) in total (kWh in ’000s) and intensity (e.g. per unit of production volume, per facility).",111-112,
KPI A2.2,"Water consumption in total and intensity (e.g. per unit of production volume, per facility).","26-27, 114",
KPI A2.3,Description of energy use efficiency target(s) set and steps taken to achieve them.,"23-24, 32-33, 118, 123, 128",
KPI A2.4,"Description of whether there is any issue in sourcing water that is fit for purpose, water efficiency target(s) set and steps taken to achieve them.","26-27, 123",
KPI A2.5,"Total packaging material used for finished products (in tonnes) and, if applicable, with reference to per unit produced.",115,
Aspect,A3: The Environment and Natural Resources,,
General Policies,Disclosure on minimising the issuer’s significant impacts on the environment and natural resources.,18-41,
KPI A3.1,Description of the significant impacts of activities on the environment and natural resources and the actions taken to manage them.,"18-41, 118-125, 128-131",
Aspect,A4: Climate Change,,
"General Policies impact,","Disclosure on identification and mitigation of significant climate-related issues which have impacted, and those which may the issuer.",18-25,
KPI A4.1,"Description of the significant climate-related issues which have impacted, and those which may impact, the issuer, and the actions taken to manage them.","18-25, 118-125, 128-131",
