GRI Standard,Disclosure,Page number(s),Other reference material(s)
Social topics,,,
Employment,,,
GRI 3: Material Topics 2021,3-3 Management of material topic,"44, 57-63",
GRI 401: Employment 2016,401-1 New employee hires and employee turnover,106,
Occupational Health,and Safety,,
GRI 3: Material Topics 2021,3-3 Management of material topic 403-1 Occupational health,45-50 45-49,
,"and safety management system 403-2 Hazard identification,",45-49,
,"risk assessment, and incident investigation 403-4 Worker participation,",45-47,
GRI 403: Occupational Health and Safety 2018,"consultation, and communication on occupational health and safety 403-5 Worker training on","45-47, 107",
,occupational health and safety,,
,403-6 Promotion of worker health,45-47,
,403-9 Work-related injuries,107,
,403-10 Work-related ill health,107,
Training and Education,,,
GRI 3: Material Topics 2021,3-3 Management of material topic,59-61,
,404-1 Average hours of training per year per employee,107,
GRI 404: Training and Education 2016,404-2 Programs for upgrading employee skills and transition assistance programs,59-61,
Diversity and Equal,Opportunity,,
GRI 3: Material Topics 2021,3-3 Management of material topic,51-56,
GRI 405: Diversity and Equal Opportunity 2016,405-1 Diversity of governance bodies and employees,104-105,
