Calendar Year (CY),2019,2020,2021,2022,20231
ENERGY STAR® certified products availability,(percentage of product),,,,
Notebook Platforms,93%,98%,92%,90%,91%
Desktop Platforms2,97%,97%,98%,83%,82%
Workstation Platforms,90%,98%,100%,100%,100%
Server Platforms3,94%,90%,94%,92%,82%
Monitors4,94%,90%,80%,69%,50%
