FY,2019/20,2020/21,2021/22,2022/23,2023/24
Recordable rate,0.03,0.04,0.07,0.08,0.04
Number of employee fatalities,0,0,0,0,0
Number of contractor fatalities,0,0,0,1,0
Fatal work injury rate1,0,0,0,0.002,0
Lost days,82,143,384,324,174
Lost-time rate,0.03,0.03,0.05,0.05,0.03
Number of ISO 45001: 2018 registered facilities,11,11,11,15,12
Manufacturing employee health and safety training,,,,,
Average number of hours of training per manufacturing employee,35,52,35,45,49
