KPI type,Commitment,KPI,Progress through FY 2023/24,UNGC SDG
,,"By FY 2025/26, 100% of PC products will contain post-consumer recycled content materials.9",Long term target: on track,
,,"By FY 2025/26, we will use 300 million pounds of post-consumer recycled content plastics in our products.10",Long term target: on track,
,Lenovo is focused on integrating,"By FY 2025/26, 100% of smartphone products and accessories will be free of",Long term target: on track,
Sustainable materials,sustainable materials and minimizing waste through innovative,"PVC and BFR.11 By FY 2025/26, 90% of PC products plastic packaging will be made from materials.12",Long term target: on track,
,product and packaging design.,"recycled By FY 2025/26, Smartphone packaging",,
,,will use 50% less single-use plastics and reduce in size/volume by 10% and 60% of smartphone packaging will be made from recycled materials.13,Long term target: on track,
