FY,2019/20,2020/21,2021/22,2022/23,2023/24
Average number of training hours per employee3,n/a,n/a,5,6,9
By gender4,,,,,
Male,n/a,n/a,7,8,9
Female,n/a,n/a,8,8,10
By employee category,,,,,
Individual contributors and contractors,n/a,n/a,7,7,9
Middle management,n/a,n/a,9,8,11
Senior management or executives,n/a,n/a,7,5,9
