KPI type,Commitment,KPI,Progress through FY 2023/24,UNGC SDG
,,"By FY 2025/26, 90% of our global operations’ electricity will be obtained from renewable sources.2",Long term target: on track,
,"Lenovo has set aggressive,","By FY 2025/26, we will remove one million tons of greenhouse gas emissions from our supply chain.3",Long term target: off track,
Climate change mitigation,science-based greenhouse gas emission reduction,"By FY 2029/30, we will achieve 50% improvement in energy efficiency of Lenovo desktops4 and servers.4",Long term target: on track,
,goals.1,"By FY 2029/30, we will achieve 30% improvement in energy efficiency of Lenovo notebooks4 and Motorola products.5",Long term target: on track,
,,"By FY 2025/26, 84% of repairs can be done at the customer site, without having to send their PC to a service center.6",Long term target: on track,
,Lenovo is,"By FY 2025/26, 76% of repairable PC parts returned to our service center will be repaired for future use.7",Long term target: on track,
Circular,transitioning to a circular economy through,,,
economy,"innovations in our supply chain, product design",,,
,and services.,"By FY 2025/26, we will have enabled the recycling and reuse of 800 million pounds of end-of-life products.8",Long term target: on track,
