,2017,2018,2019,2020,2021,2022
Category 9: Downstream Transportation and Distribution 5,-,-,"5,000","10,000",37,16
Of Total (in %),-,-,<1%,<1%,<1%,<1%
Category 11: Use of Sold Products 5,-,-,"5,000","390,000","106,232","62,306"
Of Total (in %),-,-,<1%,8%,2%,<1%
Category 12: End-of-Life Treatment of Sold Products 5,-,-,<500,<500,"1,267","3,775"
Of Total (in %),-,-,<1%,<1%,<1%,<1%
