指标,指标说明,所在报告位置
GRI 2：一般披露 2021,2-1 组织详细情况,P3
,2-2 纳入组织可持续发展报告的实体,P1
,2-3 报告期、报告频率和联系人,P1
,2-4 信息重述,P1
,2-5 外部鉴证,P70
,2-6 活动、价值链和其他业务关系,P3-4
,2-7 员工,P56-65
,2-8 员工之外的工作者,P34-36
,2-9 管治架构和组成,P12
,2-10 最高管治机构的提名和遴选,P12
,2-11 最高管治机构的主席,P12
,2-12 在管理影响方面，最高管治机构的监督作用,P12
,2-13 为管理影响的责任授权,P12
,2-14 最高管治机构在可持续发展报告中的作用,P5
,2-19 薪酬政策,P61
,2-20 确定薪酬的程序,P61
