Default grid mix,% x,Apple actual renewable energy allocation,%,Default grid mix
Gas,43,Apple’s solar projects,82,Renewable
Nuclear,31,Apple’s wind projects,18,Hydro
Coal,13,Source: 2023 energy data.,N/A,Coal
Hydro,5,N/A,N/A,Gas
Renewable,9,N/A,N/A,Nuclear
