H1,H2,HKEx,GRI,SASB,Description,Index
Governance and Compliance,Corporate Governance,,2-9,,Governance structure and composition,
,,,2-14,,Role of the highest governance body in sustainability reporting,
,,,2-16 2-25,,Communication of critical concerns Processes to remediate negative impacts,
,,,2-26,,Mechanisms for seeking advice and raising concerns Policies on improving employees’ knowledge and skills for discharging duties at work.,
,Business Ethics,B3,,,"Description of training activities. ""Information on:",
,,B6 B6.3,,,"(a) the policies; and (b) compliance with relevant laws and regulations that have a significant impact on the issuer relating to health and safety, advertising, labelling and privacy matters relating to products and services provided and methods of redress."" Description of practices relating to observing and protecting intellectual property rights.",
,,B7,,,"""Information on: (a) the policies; and (b) compliance with relevant laws and regulations that have a significant impact on the issuer relating to bribery, extortion, fraud and money laundering.""","Xiaomi Corporation strictly complies with the Criminal Law of the People's Republic of China, the Anti-Money Laundering Law of the People's Republic of China, and other applicable laws, regulations, and practices of the locations where it operates. For pertinent policies and more inforamtion, please refer to the chapter headed ""Governance and Compliance."""
,,B7.1,,,Number of concluded legal cases regarding corrupt practices brought against the issuer its the and the of the,
,,B7.2,,,"or employees during reporting period outcomes cases. Description of preventive measures and whistle-blowing procedures, and how they are",
,,B7.3,,,implemented and monitored. Description of anti-corruption training provided to directors and staff.,
,,,2-15,,Conflicts of interest,
,,,2-27 2-28,,Compliance with laws and regulations Membership associations,
,,,205-1 205-2,,Operations assessed for risks related to corruption Communication and about and,
,,,205-3,,training anti-corruption policies procedures Confirmed incidents of corruption and actions taken,
,,,206-1,,"Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",
